#PKG,RTYPE,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
AUR,F,FMB,abook,"is an offline addressbook usable by neomutt."
AUR,F,htop-vim-git, "is TUI System monitor"
AUR,F,lf,"is an extensive terminal file manager."
AUR,F,nerd-fonts-jetbrains-mono, "is JetBrainsMono Nerd Font Patched [Font]"
AUR,F,nerd-fonts-sf-mono, "is Apple Fonts SFMono Nerd Font Patched [Font]"
AUR,F,nonicons-font, "is SVG icons programming lang and dev tools (Neovim) [Font]"
AUR,F,noto-fonts-emoji-apple, "is an apple emoji replace for noto [Font]."
AUR,F,simple-mtpfs,"enables the mounting of cell phones."
AUR,F,task-spooler,"queues commands or files for download."
AUR,F,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell.(ZSH)"
AUR,FM,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
AUR,FM,sc-im,"is an Excel-like terminal spreadsheet manager."
AUR,FM,scrcpy, "is Mirroring and Controlling Android Devices"
AUR,FM,siji, "Bitmap Font [Font]"
AUR,FM,tremc,"a ncurses interface for tranmission-cli [Torrent Client]"
AUR,FM,vidir,"allows editing of directories and filenames in a text editor | for bulrenaming (req:lf)"
AUR,FM,whitesur-gtk-theme-git, "Dark theme MacOS BigSur themes GTK [Theme]"
AUR,FM,whitesur-icon-theme-git, "Icon MacOS BigSur [Theme]"
AUR,FX,mutt-wizard-git,"is a light-weight terminal-based email system <CLI>."
AUR,M,xcolor, "is Minimalist Color Picker"
AUR,O,bitwarden-bin, "Bitwarden Password Manager"
AUR,O,browserpass, "is a Simple Unix Password Manager"
AUR,O,caffeine-ng-git, "Temporarly inhibit screensave and sleep mode"
AUR,O,calibre, "is GUI Ebook Management Applications"
AUR,O,epy-git,"is a CLI epub reader"
AUR,O,ffmpeg-compat-57, "Local files for spotify"
AUR,O,genius-spicetify-git, "Spicetify app fetches lyric from genius and Musiclyric"
AUR,O,glow-bin, "is Markdown Rendered <CLI>"
AUR,O,klavaro, "Typing Tutor (#keyboard)"
AUR,O,notion-enhancer, " [GUI] AIO productivity workspace with some enhancer "
AUR,O,obisidian-appimage, " [GUI] Offiline Markdown Notes"
AUR,O,otf-etbb, "Et Book fonts used for emacs (req:emacs) [Font]"
AUR,O,play-with-mpv-git, "Allow to play videos in webpages with MPV"
AUR,O,rambox-bin, "all in one messaging web app [tg.etc]"
AUR,O,spicetify-cli, "CLI tool to customize spotify"
AUR,O,spotify, "Spotify Music Player"
AUR,O,tiny-media-manager-3, "is GUI app for media Management Tools (movies/tvshow) "
AUR,O,transmission-cli, "Torrent"
AUR,O,vscodium-bin, "[GUI] VSCode without Microsoft Telemetry Crap"
AUR,O,ytfzf-git,"Find Youtube video with FZF"
